                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    115,                 1.4794,                 1.4673,                 1.5926,                0.67506,                0.71932,                 0.7433,                0.47774,                  1.291,                 1.1258,                 1.5424,               0.002476,               0.002476,               0.002476
                    116,                 1.4685,                 1.4568,                 1.5805,                 0.6828,                0.71897,                0.74576,                0.47983,                 1.2886,                 1.1243,                 1.5389,                0.00241,                0.00241,                0.00241
                    117,                 1.4509,                 1.4273,                 1.5732,                0.68712,                0.72191,                0.74944,                 0.4833,                 1.2851,                 1.1198,                 1.5372,               0.002344,               0.002344,               0.002344
                    118,                 1.4608,                  1.439,                  1.581,                0.68376,                0.72069,                0.75038,                0.48438,                 1.2821,                 1.1128,                 1.5367,               0.002278,               0.002278,               0.002278
                    119,                 1.4674,                 1.4521,                 1.5805,                 0.6839,                0.72596,                0.75252,                0.48623,                 1.2786,                 1.1126,                 1.5316,               0.002212,               0.002212,               0.002212
                    120,                 1.4528,                 1.4225,                 1.5633,                0.69414,                0.71664,                0.75408,                0.48806,                 1.2766,                 1.1083,                 1.5293,               0.002146,               0.002146,               0.002146
                    121,                 1.4474,                 1.4312,                 1.5663,                0.68837,                0.72496,                 0.7562,                0.49022,                  1.273,                 1.1034,                 1.5267,                0.00208,                0.00208,                0.00208
                    122,                 1.4513,                 1.4276,                 1.5722,                0.68502,                0.73364,                0.75878,                0.49126,                 1.2712,                 1.1002,                 1.5245,               0.002014,               0.002014,               0.002014
                    123,                 1.4475,                  1.422,                 1.5611,                0.69013,                 0.7348,                0.76142,                0.49327,                 1.2701,                 1.0936,                 1.5197,               0.001948,               0.001948,               0.001948
                    124,                 1.4454,                 1.4015,                  1.557,                0.69803,                0.72895,                0.76433,                0.49576,                 1.2656,                 1.0888,                 1.5166,               0.001882,               0.001882,               0.001882
                    125,                 1.4551,                 1.4201,                 1.5729,                0.69883,                0.73365,                0.76506,                0.49729,                 1.2644,                 1.0873,                 1.5159,               0.001816,               0.001816,               0.001816
                    126,                 1.4436,                 1.3942,                 1.5586,                0.70329,                0.73331,                0.76643,                0.49868,                 1.2614,                 1.0835,                 1.5123,                0.00175,                0.00175,                0.00175
                    127,                 1.4322,                 1.3868,                 1.5517,                 0.7007,                0.73475,                0.76852,                0.50076,                 1.2589,                 1.0805,                 1.5108,               0.001684,               0.001684,               0.001684
                    128,                 1.4314,                  1.385,                 1.5434,                 0.7091,                0.73207,                0.77021,                0.50257,                 1.2562,                 1.0764,                 1.5085,               0.001618,               0.001618,               0.001618
                    129,                 1.4359,                 1.3764,                 1.5543,                0.71197,                0.73216,                0.77183,                0.50365,                 1.2535,                 1.0721,                 1.5069,               0.001552,               0.001552,               0.001552
                    130,                 1.4365,                 1.3863,                 1.5531,                0.70788,                0.73403,                0.77273,                 0.5044,                 1.2531,                 1.0683,                 1.5053,               0.001486,               0.001486,               0.001486
                    131,                 1.4205,                 1.3775,                 1.5422,                0.70544,                0.73823,                 0.7741,                0.50576,                 1.2516,                 1.0672,                 1.5046,                0.00142,                0.00142,                0.00142
                    132,                 1.4266,                 1.3739,                 1.5401,                0.71557,                0.73242,                 0.7751,                0.50754,                 1.2494,                 1.0633,                 1.5025,               0.001354,               0.001354,               0.001354
                    133,                 1.4242,                 1.3675,                 1.5488,                0.72112,                0.73159,                0.77755,                0.50849,                 1.2483,                 1.0581,                 1.5004,               0.001288,               0.001288,               0.001288
                    134,                 1.4231,                 1.3679,                 1.5445,                0.72292,                0.73298,                0.77887,                0.51078,                 1.2454,                 1.0556,                 1.4986,               0.001222,               0.001222,               0.001222
                    135,                 1.4227,                 1.3549,                 1.5458,                  0.722,                 0.7338,                0.78029,                0.51224,                 1.2434,                  1.053,                  1.497,               0.001156,               0.001156,               0.001156
                    136,                 1.4207,                 1.3584,                 1.5401,                0.71869,                0.73861,                0.78238,                0.51337,                 1.2422,                 1.0488,                 1.4962,                0.00109,                0.00109,                0.00109
                    137,                 1.4189,                 1.3578,                 1.5381,                0.71768,                0.74122,                0.78277,                0.51411,                 1.2403,                 1.0469,                 1.4942,               0.001024,               0.001024,               0.001024
                    138,                 1.4116,                 1.3469,                 1.5318,                0.71412,                0.74503,                0.78397,                0.51544,                 1.2392,                 1.0441,                 1.4915,               0.000958,               0.000958,               0.000958
                    139,                 1.4045,                 1.3477,                 1.5349,                 0.7131,                0.74992,                0.78591,                 0.5169,                 1.2377,                 1.0404,                 1.4902,               0.000892,               0.000892,               0.000892
                    140,                 1.3602,                 1.2612,                 1.5703,                0.71387,                0.74991,                0.78612,                0.51725,                  1.237,                 1.0405,                 1.4897,               0.000826,               0.000826,               0.000826
                    141,                 1.3483,                  1.244,                 1.5621,                 0.7174,                0.75165,                0.78719,                0.51821,                 1.2344,                 1.0388,                 1.4883,                0.00076,                0.00076,                0.00076
                    142,                 1.3405,                 1.2332,                 1.5531,                0.71776,                0.75286,                0.78893,                0.51933,                 1.2326,                 1.0362,                 1.4878,               0.000694,               0.000694,               0.000694
                    143,                 1.3395,                 1.1951,                 1.5521,                0.72201,                0.75347,                0.79123,                0.52134,                 1.2304,                 1.0321,                 1.4861,               0.000628,               0.000628,               0.000628
                    144,                 1.3292,                 1.1982,                 1.5457,                0.72538,                0.75339,                0.79249,                0.52316,                 1.2274,                 1.0289,                  1.484,               0.000562,               0.000562,               0.000562
                    145,                 1.3275,                 1.1922,                 1.5448,                0.72776,                0.75316,                0.79393,                0.52491,                 1.2247,                 1.0252,                 1.4823,               0.000496,               0.000496,               0.000496
                    146,                 1.3225,                 1.1889,                 1.5415,                0.73129,                0.75001,                0.79542,                0.52619,                 1.2221,                  1.022,                   1.48,                0.00043,                0.00043,                0.00043
                    147,                 1.3217,                 1.1879,                  1.538,                0.73328,                0.75179,                0.79715,                0.52737,                 1.2206,                 1.0192,                  1.479,               0.000364,               0.000364,               0.000364
                    148,                 1.3168,                 1.1746,                 1.5342,                 0.7341,                 0.7528,                0.79802,                0.52849,                 1.2191,                 1.0168,                 1.4779,               0.000298,               0.000298,               0.000298
                    149,                 1.3157,                 1.1795,                 1.5407,                0.73243,                0.75658,                0.79951,                0.52978,                 1.2172,                 1.0138,                 1.4763,               0.000232,               0.000232,               0.000232
